Microrregião Geográfica,UF,Mesorregião Geográfica,Nome_Microrregião
007,25,01,Serra do Teixeira
008,25,02,Seridó Ocidental Paraibano
009,25,02,Seridó Oriental Paraibano
010,25,02,Cariri Ocidental
011,25,02,Cariri Oriental
012,25,03,Curimataú Ocidental
013,25,03,Curimataú Oriental
014,25,03,Esperança
015,25,03,Brejo Paraibano
016,25,03,Guarabira
017,25,03,Campina Grande
018,25,03,Itabaiana
019,25,03,Umbuzeiro
020,25,04,Litoral Norte
021,25,04,Sapé
022,25,04,João Pessoa
023,25,04,Litoral Sul
001,26,01,Araripina
002,26,01,Salgueiro
003,26,01,Pajeú
004,26,01,Sertão do Moxotó
005,26,02,Petrolina
006,26,02,Itaparica
007,26,03,Vale do Ipanema
008,26,03,Vale do Ipojuca
009,26,03,Alto Capibaribe
010,26,03,Médio Capibaribe
011,26,03,Garanhuns
012,26,03,Brejo Pernambucano
013,26,04,Mata Setentrional Pernambucana
014,26,04,Vitória de Santo Antão
015,26,04,Mata Meridional Pernambucana
016,26,05,Itamaracá
017,26,05,Recife
018,26,05,Suape
019,26,05,Fernando de Noronha
001,27,01,Serrana do Sertão Alagoano
002,27,01,Alagoana do Sertão do São Francisco
003,27,01,Santana do Ipanema
004,27,01,Batalha
005,27,02,Palmeira dos Índios
006,27,02,Arapiraca
007,27,02,Traipu
008,27,03,Serrana dos Quilombos
009,27,03,Mata Alagoana
010,27,03,Litoral Norte Alagoano
011,27,03,Maceió
012,27,03,São Miguel dos Campos
013,27,03,Penedo
001,28,01,Sergipana do Sertão do São Francisco
002,28,01,Carira
003,28,02,Nossa Senhora das Dores
004,28,02,Agreste de Itabaiana
005,28,02,Tobias Barreto
006,28,02,Agreste de Lagarto
007,28,03,Propriá
008,28,03,Cotinguiba
009,28,03,Japaratuba
010,28,03,Baixo Cotinguiba
011,28,03,Aracaju
012,28,03,Boquim
013,28,03,Estância
001,29,01,Barreiras
002,29,01,Cotegipe
003,29,01,Santa Maria da Vitória
004,29,02,Juazeiro
005,29,02,Paulo Afonso
006,29,02,Barra
007,29,02,Bom Jesus da Lapa
008,29,03,Senhor do Bonfim
009,29,03,Irecê
010,29,03,Jacobina
011,29,03,Itaberaba
012,29,03,Feira de Santana
013,29,04,Jeremoabo
014,29,04,Euclides da Cunha
015,29,04,Ribeira do Pombal
016,29,04,Serrinha
017,29,04,Alagoinhas
018,29,04,Entre Rios
019,29,05,Catu
020,29,05,Santo Antônio de Jesus
021,29,05,Salvador
022,29,06,Boquira
023,29,06,Seabra
024,29,06,Jequié
025,29,06,Livramento do Brumado
026,29,06,Guanambi
027,29,06,Brumado
028,29,06,Vitória da Conquista
029,29,06,Itapetinga
030,29,07,Valença
031,29,07,Ilhéus-Itabuna
032,29,07,Porto Seguro
001,31,01,Unaí
002,31,01,Paracatu
003,31,02,Januária
004,31,02,Janaúba
005,31,02,Salinas
006,31,02,Pirapora
007,31,02,Montes Claros
008,31,02,Grão Mogol
009,31,02,Bocaiúva
010,31,03,Diamantina
011,31,03,Capelinha
012,31,03,Araçuaí
013,31,03,Pedra Azul
014,31,03,Almenara
015,31,04,Teófilo Otoni
016,31,04,Nanuque
017,31,05,Ituiutaba
018,31,05,Uberlândia
019,31,05,Patrocínio
020,31,05,Patos de Minas
021,31,05,Frutal
022,31,05,Uberaba
023,31,05,Araxá
024,31,06,Três Marias
025,31,06,Curvelo
026,31,06,Bom Despacho
027,31,07,Sete Lagoas
028,31,07,Conceição do Mato Dentro
029,31,07,Pará de Minas
030,31,07,Belo Horizonte
031,31,07,Itabira
032,31,07,Itaguara
033,31,07,Ouro Preto
034,31,07,Conselheiro Lafaiete
035,31,08,Guanhães
036,31,08,Peçanha
037,31,08,Governador Valadares
038,31,08,Mantena
039,31,08,Ipatinga
040,31,08,Caratinga
041,31,08,Aimorés
042,31,09,Piuí
043,31,09,Divinópolis
044,31,09,Formiga
045,31,09,Campo Belo
046,31,09,Oliveira
047,31,10,Passos
048,31,10,São Sebastião do Paraíso
049,31,10,Alfenas
050,31,10,Varginha
051,31,10,Poços de Caldas
052,31,10,Pouso Alegre
053,31,10,Santa Rita do Sapucaí
054,31,10,São Lourenço
055,31,10,Andrelândia
056,31,10,Itajubá
057,31,11,Lavras
058,31,11,São João Del Rei
059,31,11,Barbacena
060,31,12,Ponte Nova
061,31,12,Manhuaçu
062,31,12,Viçosa
063,31,12,Muriaé
064,31,12,Ubá
065,31,12,Juiz de Fora
066,31,12,Cataguases
001,32,01,Barra de São Francisco
002,32,01,Nova Venécia
003,32,01,Colatina
004,32,02,Montanha
005,32,02,São Mateus
006,32,02,Linhares
007,32,03,Afonso Cláudio
008,32,03,Santa Teresa
009,32,03,Vitória
010,32,03,Guarapari
011,32,04,Alegre
012,32,04,Cachoeiro de Itapemirim
013,32,04,Itapemirim
001,33,01,Itaperuna
002,33,01,Santo Antônio de Pádua
003,33,02,Campos dos Goytacazes
004,33,02,Macaé
005,33,03,Três Rios
006,33,03,Cantagalo-Cordeiro
007,33,03,Nova Friburgo
008,33,03,Santa Maria Madalena
009,33,04,Bacia de São João
010,33,04,Lagos
011,33,05,Vale do Paraíba Fluminense
012,33,05,Barra do Piraí
013,33,05,Baía da Ilha Grande
014,33,06,Vassouras
015,33,06,Serrana
016,33,06,Macacu-Caceribu
017,33,06,Itaguaí
018,33,06,Rio de Janeiro
001,35,01,Jales
002,35,01,Fernandópolis
003,35,01,Votuporanga
004,35,01,São José do Rio Preto
005,35,01,Catanduva
006,35,01,Auriflama
007,35,01,Nhandeara
008,35,01,Novo Horizonte
009,35,02,Barretos
010,35,02,São Joaquim da Barra
011,35,02,Ituverava
012,35,02,Franca
013,35,02,Jaboticabal
014,35,02,Ribeirão Preto
015,35,02,Batatais
016,35,03,Andradina
017,35,03,Araçatuba
018,35,03,Birigui
019,35,04,Lins
020,35,04,Bauru
021,35,04,Jaú
022,35,04,Avaré
023,35,04,Botucatu
024,35,05,Araraquara
025,35,05,São Carlos
026,35,06,Rio Claro
027,35,06,Limeira
028,35,06,Piracicaba
029,35,07,Pirassununga
030,35,07,São João da Boa Vista
031,35,07,Mogi Mirim
032,35,07,Campinas
033,35,07,Amparo
034,35,08,Dracena
035,35,08,Adamantina
036,35,08,Presidente Prudente
037,35,09,Tupã
038,35,09,Marília
039,35,10,Assis
040,35,10,Ourinhos
041,35,11,Itapeva
042,35,11,Itapetininga
043,35,11,Tatuí
044,35,11,Capão Bonito
045,35,12,Piedade
046,35,12,Sorocaba
047,35,12,Jundiaí
048,35,12,Bragança Paulista
049,35,13,Campos do Jordão
050,35,13,São José dos Campos
051,35,13,Guaratinguetá
052,35,13,Bananal
053,35,13,Paraibuna/Paraitinga
054,35,13,Caraguatatuba
055,35,14,Registro
056,35,14,Itanhaém
057,35,15,Osasco
058,35,15,Franco da Rocha
059,35,15,Guarulhos
060,35,15,Itapecerica da Serra
061,35,15,São Paulo
062,35,15,Mogi das Cruzes
063,35,15,Santos
001,41,01,Paranavaí
002,41,01,Umuarama
003,41,01,Cianorte
004,41,02,Goioerê
005,41,02,Campo Mourão
006,41,03,Astorga
007,41,03,Porecatu
008,41,03,Floraí
009,41,03,Maringá
010,41,03,Apucarana
011,41,03,Londrina
012,41,03,Faxinal
013,41,03,Ivaiporã
014,41,04,Assaí
015,41,04,Cornélio Procópio
016,41,04,Jacarezinho
017,41,04,Ibaiti
018,41,04,Wenceslau Braz
019,41,05,Telêmaco Borba
020,41,05,Jaguariaíva
021,41,05,Ponta Grossa
022,41,06,Toledo
023,41,06,Cascavel
024,41,06,Foz do Iguaçu
025,41,07,Capanema
026,41,07,Francisco Beltrão
027,41,07,Pato Branco
028,41,08,Pitanga
029,41,08,Guarapuava
030,41,08,Palmas
031,41,09,Prudentópolis
032,41,09,Irati
033,41,09,União da Vitória
034,41,09,São Mateus do Sul
035,41,10,Cerro Azul
036,41,10,Lapa
037,41,10,Curitiba
038,41,10,Paranaguá
039,41,10,Rio Negro
001,42,01,São Miguel do Oeste
002,42,01,Chapecó
003,42,01,Xanxerê
004,42,01,Joaçaba
005,42,01,Concórdia
006,42,02,Canoinhas
007,42,02,São Bento do Sul
008,42,02,Joinville
009,42,03,Curitibanos
010,42,03,Campos de Lages
011,42,04,Rio do Sul
012,42,04,Blumenau
013,42,04,Itajaí
014,42,04,Ituporanga
015,42,05,Tijucas
016,42,05,Florianópolis
017,42,05,Tabuleiro
018,42,06,Tubarão
019,42,06,Criciúma
020,42,06,Araranguá
001,43,01,Santa Rosa
002,43,01,Três Passos
003,43,01,Frederico Westphalen
004,43,01,Erechim
005,43,01,Sananduva
006,43,01,Cerro Largo
007,43,01,Santo Ângelo
008,43,01,Ijuí
009,43,01,Carazinho
010,43,01,Passo Fundo
011,43,01,Cruz Alta
012,43,01,Não-Me-Toque
013,43,01,Soledade
014,43,02,Guaporé
015,43,02,Vacaria
016,43,02,Caxias do Sul
017,43,03,Santiago
018,43,03,Santa Maria
019,43,03,Restinga Seca
020,43,04,Santa Cruz do Sul
021,43,04,Lajeado-Estrela
022,43,04,Cachoeira do Sul
023,43,05,Montenegro
024,43,05,Gramado-Canela
025,43,05,São Jerônimo
026,43,05,Porto Alegre
027,43,05,Osório
028,43,05,Camaquã
029,43,06,Campanha Ocidental
030,43,06,Campanha Central
031,43,06,Campanha Meridional
032,43,07,Serras de Sudeste
033,43,07,Pelotas
034,43,07,Jaguarão
035,43,07,Litoral Lagunar
001,50,01,Baixo Pantanal
002,50,01,Aquidauana
003,50,02,Alto Taquari
004,50,02,Campo Grande
005,50,03,Cassilândia
006,50,03,Paranaíba
007,50,03,Três Lagoas
008,50,03,Nova Andradina
009,50,04,Bodoquena
010,50,04,Dourados
011,50,04,Iguatemi
001,51,01,Aripuanã
002,51,01,Alta Floresta
003,51,01,Colíder
004,51,01,Parecis
005,51,01,Arinos
006,51,01,Alto Teles Pires
007,51,01,Sinop
008,51,01,Paranatinga
009,51,02,Norte Araguaia
010,51,02,Canarana
011,51,02,Médio Araguaia
012,51,03,Alto Guaporé
013,51,03,Tangará da Serra
014,51,03,Jauru
015,51,04,Alto Paraguai
016,51,04,Rosário Oeste
017,51,04,Cuiabá
018,51,04,Alto Pantanal
019,51,05,Primavera do Leste
020,51,05,Tesouro
021,51,05,Rondonópolis
022,51,05,Alto Araguaia
001,52,01,São Miguel do Araguaia
002,52,01,Rio Vermelho
003,52,01,Aragarças
004,52,02,Porangatu
005,52,02,Chapada dos Veadeiros
006,52,03,Ceres
007,52,03,Anápolis
008,52,03,Iporá
009,52,03,Anicuns
010,52,03,Goiânia
011,52,04,Vão do Paranã
012,52,04,Entorno de Brasília
013,52,05,Sudoeste de Goiás
014,52,05,Vale do Rio dos Bois
015,52,05,Meia Ponte
016,52,05,Pires do Rio
017,52,05,Catalão
018,52,05,Quirinópolis
001,53,01,Brasília
